County,STATE,Residents Total All Deaths,Residents Total COVID-19 Deaths
Delaware,PA,2486.0,1228.0
Lehigh,PA,816.0,699.0
Montgomery,PA,1538.0,692.0
Lancaster,PA,1445.0,688.0
Bucks,PA,1762.0,680.0
Berks,PA,1266.0,564.0
Delaware,PA,777.0,354.0
Northampton,PA,423.0,284.0
Lehigh,PA,468.0,255.0
Lackawanna,PA,519.0,251.0
Bucks,PA,585.0,244.0
Northampton,PA,523.0,233.0
Philadelphia,PA,306.0,224.0
Chester,PA,430.0,212.0
Philadelphia,PA,484.0,154.0
Lebanon,PA,269.0,149.0
Allegheny,PA,427.0,141.0
Lancaster,PA,207.0,140.0
Luzerne,PA,187.0,130.0
Montgomery,PA,278.0,117.0
Berks,PA,106.0,101.0
York,PA,369.0,53.0
Allegheny,PA,501.0,40.0
Chester,PA,176.0,37.0
York,PA,51.0,14.0
Erie,PA,5.0,5.0
